time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073910
0.015000,0.523324
0.020000,-0.426566
0.025000,0.915985
0.030000,-0.296944
0.035000,0.181410
0.040000,-0.570972
0.045000,0.307793
0.050000,-1.088047
0.055000,-0.002104
0.060000,0.407679
0.065000,-0.803681
0.070000,0.971492
0.075000,0.593519
0.080000,0.171582
0.085000,0.487225
0.090000,0.756516
0.095000,-0.051310
0.100000,0.819692
0.105000,1.035211
0.110000,0.295591
0.115000,0.032594
0.120000,-0.165215
0.125000,-0.117500
0.130000,-1.020744
0.135000,-0.073159
0.140000,0.065982
0.145000,0.419231
0.150000,0.260241
0.155000,-0.597594
0.160000,0.453690
0.165000,-0.060798
0.170000,0.328453
0.175000,0.894409
0.180000,0.071010
0.185000,-0.642918
0.190000,-0.676927
0.195000,-0.023959
0.200000,0.693059
0.205000,-0.667057
0.210000,-0.502674
0.215000,0.152449
0.220000,-0.747176
0.225000,-0.187213
0.230000,0.080228
0.235000,-0.296984
0.240000,-0.247240
0.245000,-0.531437
0.250000,-0.076058
0.255000,-0.683898
0.260000,0.197084
0.265000,-0.268277
0.270000,-0.409818
0.275000,-0.510372
0.280000,0.084646
0.285000,0.246053
0.290000,-0.526516
0.295000,-0.290342
0.300000,-0.036223
0.305000,-0.315894
0.310000,0.597815
0.314999,-0.020552
0.319999,0.531714
0.324999,0.521753
0.329999,0.597064
0.334999,-0.107654
0.339999,-0.264749
0.344999,-0.036008
0.349999,-0.614037
0.354999,-0.189436
0.359999,0.137588
0.364999,0.518279
0.369999,1.174687
0.374999,0.279509
0.379999,-0.160944
0.384999,-0.611062
0.389999,0.302586
0.394998,0.189569
0.399998,-0.007088
0.404998,-0.815993
0.409998,0.245915
0.414998,-0.220484
0.419998,0.441669
0.424998,0.097817
0.429998,-0.545639
0.434998,-0.328298
0.439998,-0.219713
0.444998,0.047641
0.449998,-0.993304
0.454998,-1.219319
0.459998,0.036770
0.464998,0.359881
0.469997,-0.561137
0.474997,-0.500859
0.479997,0.894496
0.484997,0.200733
0.489997,-0.612447
0.494997,-0.115193
0.499997,-0.268915
0.504997,0.327128
0.509997,-0.383133
0.514997,0.222827
0.519997,-0.100672
0.524997,0.010596
0.529997,-0.636135
0.534997,0.091757
0.539997,0.384959
0.544997,0.193827
0.549996,-0.616387
0.554996,0.058459
0.559996,-0.491428
0.564996,0.394685
0.569996,-0.874570
0.574996,-0.043654
0.579996,-0.072374
0.584996,-0.054946
0.589996,0.369107
0.594996,0.440608
0.599996,-0.967315
0.604996,0.062376
0.609996,-0.299700
0.614996,0.103756
0.619996,0.355196
0.624996,-0.266456
0.629995,0.497017
0.634995,0.081579
0.639995,-1.077181
0.644995,-0.119080
0.649995,0.288721
0.654995,0.601754
0.659995,-0.102432
0.664995,0.555215
0.669995,0.031099
0.674995,0.167018
0.679995,-0.627001
0.684995,0.034414
0.689995,0.003882
0.694995,0.567518
0.699995,0.565789
0.704994,-0.238029
0.709994,0.614674
0.714994,-0.270499
0.719994,-0.041333
0.724994,0.724989
0.729994,0.006985
0.734994,0.585535
0.739994,-0.716477
0.744994,0.588707
0.749994,-0.076602
0.754994,-0.235204
0.759994,0.217969
0.764994,0.387880
0.769994,-0.489741
0.774994,0.718594
0.779994,-0.103479
0.784993,-0.130458
0.789993,0.538923
0.794993,-0.935395
0.799993,-0.120935
0.804993,0.145230
0.809993,-0.391093
0.814993,-0.236878
0.819993,-0.185367
0.824993,0.438607
0.829993,0.046732
0.834993,0.289410
0.839993,0.036106
0.844993,0.613398
0.849993,-0.101694
0.854993,-0.123595
0.859993,-0.361932
0.864992,-0.181796
0.869992,-0.483869
0.874992,0.100288
0.879992,-0.103289
0.884992,-0.401977
0.889992,-0.680629
0.894992,-0.709463
0.899992,0.463869
0.904992,-0.026518
0.909992,0.183298
0.914992,-0.338387
0.919992,-0.380110
0.924992,-0.267073
0.929992,0.465639
0.934992,-0.451540
0.939991,0.296955
0.944991,-0.241994
0.949991,1.249392
0.954991,-0.664148
0.959991,0.477467
0.964991,1.183408
0.969991,-0.736700
0.974991,0.957351
0.979991,-0.691750
0.984991,0.167400
0.989991,0.622669
0.994991,-0.620757
0.999991,0.232271
1.004991,0.135549
1.009991,-0.011224
1.014991,0.918920
1.019992,0.589693
1.024992,-0.107468
1.029992,-0.697249
1.034992,-0.004440
1.039993,-0.021316
1.044993,-0.062447
1.049993,0.703203
1.054993,-0.081841
1.059994,-0.163599
1.064994,-0.065219
1.069994,-0.294269
1.074994,-0.175412
1.079994,0.555421
1.084995,0.114753
1.089995,-0.131995
1.094995,-0.105533
1.099995,0.456797
1.104996,-0.140675
1.109996,0.509724
1.114996,-0.260730
1.119996,-0.120073
1.124997,-0.343288
1.129997,-0.791791
1.134997,0.370356
1.139997,0.171132
1.144997,-0.309723
1.149998,1.043904
1.154998,0.406039
1.159998,0.013793
1.164998,-0.358327
1.169999,-0.114923
1.174999,0.467958
1.179999,0.269709
1.184999,-0.453504
1.190000,-0.423100
1.195000,-0.023625
1.200000,-0.152465
1.205000,0.090405
1.210001,0.115121
1.215001,-0.177585
1.220001,-0.803360
1.225001,0.735055
1.230001,0.040143
1.235002,-0.443022
1.240002,-0.516756
1.245002,-0.225685
1.250002,-1.010335
1.255003,0.268557
1.260003,0.928123
1.265003,-0.349130
1.270003,-0.048758
1.275004,0.512868
1.280004,0.445443
1.285004,0.289281
1.290004,-0.903251
1.295004,0.104557
1.300005,0.234455
1.305005,0.062194
1.310005,-0.524904
1.315005,0.060787
1.320006,-0.153369
1.325006,0.385282
1.330006,0.035879
1.335006,-0.236603
1.340007,0.261930
1.345007,-0.401290
1.350007,0.145762
1.355007,-0.711762
1.360008,-0.213986
1.365008,-0.144818
1.370008,-0.272719
1.375008,1.227802
1.380008,-0.556863
1.385009,0.234738
1.390009,-0.115634
1.395009,0.200140
1.400009,0.006634
1.405010,1.186104
1.410010,-0.134930
1.415010,-0.351648
1.420010,0.470488
1.425011,-0.355159
1.430011,0.907454
1.435011,-0.041503
1.440011,-0.128309
1.445011,0.506193
1.450012,0.011623
1.455012,-0.639537
1.460012,-0.198536
1.465012,0.236653
1.470013,0.225502
1.475013,0.700923
1.480013,-0.834440
1.485013,-0.431997
1.490014,0.455620
1.495014,0.588249
1.500014,0.169491
1.505014,0.084676
1.510015,0.482428
1.515015,-0.031734
1.520015,0.196998
1.525015,0.534629
1.530015,0.221604
1.535016,-0.833862
1.540016,0.025207
1.545016,-0.176001
